quorum_check_enabled,ongaro_lease_enabled,leaseguard_enabled,inherit_lease_enabled,defer_commit_enabled,end_ts,writes,reads
False,False,False,False,False,201645,0,1
False,False,False,False,False,201879,1,0
False,False,False,False,False,201945,0,1
False,False,False,False,False,202116,1,0
False,False,False,False,False,202472,0,1
False,False,False,False,False,202722,1,0
False,False,False,False,False,203259,0,1
False,False,False,False,False,204078,0,1
False,False,False,False,False,204184,0,1
False,False,False,False,False,204290,1,0
False,False,False,False,False,204666,1,0
False,False,False,False,False,204915,0,1
False,False,False,False,False,205181,1,0
False,False,False,False,False,205245,0,1
False,False,False,False,False,205558,0,1
False,False,False,False,False,205832,0,1
False,False,False,False,False,205937,0,1
False,False,False,False,False,205974,0,1
False,False,False,False,False,206819,1,0
False,False,False,False,False,206975,0,1
False,False,False,False,False,207493,1,0
False,False,False,False,False,208113,0,1
False,False,False,False,False,208270,1,0
False,False,False,False,False,208527,0,1
False,False,False,False,False,208696,0,1
False,False,False,False,False,208885,0,1
False,False,False,False,False,209366,0,1
False,False,False,False,False,209763,0,1
False,False,False,False,False,209903,0,1
False,False,False,False,False,210014,1,0
False,False,False,False,False,210481,1,0
False,False,False,False,False,210499,0,1
False,False,False,False,False,210916,1,0
False,False,False,False,False,211464,1,0
False,False,False,False,False,211645,0,1
False,False,False,False,False,212169,0,1
False,False,False,False,False,212177,0,1
False,False,False,False,False,212333,0,1
False,False,False,False,False,212711,1,0
False,False,False,False,False,213031,0,1
False,False,False,False,False,213386,0,1
False,False,False,False,False,213648,0,1
False,False,False,False,False,213900,0,1
False,False,False,False,False,214533,0,1
False,False,False,False,False,214540,1,0
False,False,False,False,False,215273,1,0
False,False,False,False,False,215526,0,1
False,False,False,False,False,216052,1,0
False,False,False,False,False,216117,0,1
False,False,False,False,False,216246,0,1
False,False,False,False,False,216523,0,1
False,False,False,False,False,216950,0,1
False,False,False,False,False,217240,1,0
False,False,False,False,False,217350,0,1
False,False,False,False,False,217383,0,1
False,False,False,False,False,218396,1,0
False,False,False,False,False,218654,0,1
False,False,False,False,False,219026,0,1
False,False,False,False,False,219226,1,0
False,False,False,False,False,219436,0,1
False,False,False,False,False,219498,1,0
False,False,False,False,False,219504,0,1
False,False,False,False,False,220001,1,0
False,False,False,False,False,220010,0,1
False,False,False,False,False,220647,0,1
False,False,False,False,False,220901,0,1
False,False,False,False,False,221418,0,1
False,False,False,False,False,221646,0,1
False,False,False,False,False,222023,1,0
False,False,False,False,False,222271,1,0
False,False,False,False,False,222499,1,0
False,False,False,False,False,222610,0,1
False,False,False,False,False,223368,0,1
False,False,False,False,False,223564,0,1
False,False,False,False,False,223885,0,1
False,False,False,False,False,224184,0,1
False,False,False,False,False,224277,0,1
False,False,False,False,False,224603,1,0
False,False,False,False,False,224811,1,0
False,False,False,False,False,225166,0,1
False,False,False,False,False,225286,1,0
False,False,False,False,False,225595,0,1
False,False,False,False,False,225675,1,0
False,False,False,False,False,225829,0,1
False,False,False,False,False,226042,0,1
False,False,False,False,False,226109,0,1
False,False,False,False,False,226771,1,0
False,False,False,False,False,227348,0,1
False,False,False,False,False,227863,0,1
False,False,False,False,False,227941,1,0
False,False,False,False,False,228164,0,1
False,False,False,False,False,228642,1,0
False,False,False,False,False,228696,0,1
False,False,False,False,False,229005,0,1
False,False,False,False,False,229626,0,1
False,False,False,False,False,230343,1,0
False,False,False,False,False,230439,0,1
False,False,False,False,False,230514,0,1
False,False,False,False,False,230808,0,1
False,False,False,False,False,231568,1,0
False,False,False,False,False,231607,0,1
False,False,False,False,False,231951,0,1
False,False,False,False,False,232181,1,0
False,False,False,False,False,232483,0,1
False,False,False,False,False,232767,0,1
False,False,False,False,False,233156,0,1
False,False,False,False,False,233330,1,0
False,False,False,False,False,234065,0,1
False,False,False,False,False,234291,1,0
False,False,False,False,False,234337,0,1
False,False,False,False,False,234572,1,0
False,False,False,False,False,234805,0,1
False,False,False,False,False,235371,1,0
False,False,False,False,False,235427,0,1
False,False,False,False,False,235444,0,1
False,False,False,False,False,235859,0,1
False,False,False,False,False,236239,0,1
False,False,False,False,False,236693,1,0
False,False,False,False,False,236848,0,1
False,False,False,False,False,237036,0,1
False,False,False,False,False,237315,0,1
False,False,False,False,False,237542,1,0
False,False,False,False,False,237733,0,1
False,False,False,False,False,237795,1,0
False,False,False,False,False,237882,0,1
False,False,False,False,False,238708,0,1
False,False,False,False,False,239539,0,1
False,False,False,False,False,239922,1,0
False,False,False,False,False,240072,0,1
False,False,False,False,False,240307,0,1
False,False,False,False,False,240587,0,1
False,False,False,False,False,240602,1,0
False,False,False,False,False,241516,1,0
False,False,False,False,False,241538,0,1
False,False,False,False,False,241565,0,1
False,False,False,False,False,241710,0,1
False,False,False,False,False,242535,1,0
False,False,False,False,False,242576,0,1
False,False,False,False,False,242979,0,1
False,False,False,False,False,243288,1,0
False,False,False,False,False,243824,0,1
False,False,False,False,False,244045,1,0
False,False,False,False,False,244473,0,1
False,False,False,False,False,244782,1,0
False,False,False,False,False,244879,0,1
False,False,False,False,False,245029,0,1
False,False,False,False,False,245364,1,0
False,False,False,False,False,245769,0,1
False,False,False,False,False,245798,0,1
False,False,False,False,False,246731,1,0
False,False,False,False,False,246887,0,1
False,False,False,False,False,247024,0,1
False,False,False,False,False,247187,0,1
False,False,False,False,False,247657,0,1
False,False,False,False,False,247819,1,0
False,False,False,False,False,248178,0,1
False,False,False,False,False,248287,1,0
False,False,False,False,False,248690,0,1
False,False,False,False,False,248887,0,1
False,False,False,False,False,249075,1,0
False,False,False,False,False,249812,0,1
False,False,False,False,False,249900,0,1
False,False,False,False,False,249938,0,1
False,False,False,False,False,250067,0,1
False,False,False,False,False,250241,1,0
False,False,False,False,False,250714,0,1
False,False,False,False,False,250724,1,0
False,False,False,False,False,252045,0,1
False,False,False,False,False,252054,1,0
False,False,False,False,False,252299,0,1
False,False,False,False,False,252299,0,1
False,False,False,False,False,252353,0,1
False,False,False,False,False,252951,1,0
False,False,False,False,False,253006,0,1
False,False,False,False,False,253178,0,1
False,False,False,False,False,253381,1,0
False,False,False,False,False,253611,0,1
False,False,False,False,False,254191,1,0
False,False,False,False,False,254235,0,1
False,False,False,False,False,255533,0,1
False,False,False,False,False,255583,0,1
False,False,False,False,False,256035,0,1
False,False,False,False,False,256067,0,1
False,False,False,False,False,256092,1,0
False,False,False,False,False,256337,1,0
False,False,False,False,False,256702,1,0
False,False,False,False,False,257112,0,1
False,False,False,False,False,257315,0,1
False,False,False,False,False,257357,0,1
False,False,False,False,False,258132,0,1
False,False,False,False,False,258322,0,1
False,False,False,False,False,258886,1,0
False,False,False,False,False,259214,0,1
False,False,False,False,False,259237,1,0
False,False,False,False,False,259431,0,1
False,False,False,False,False,259523,1,0
